,query,jieba_pos,jieba_segment,jieba_keywords,tfidf_keywords,textrank_keywords,Unnamed: 0,text_rank_keywords
422,宝宝七个月可以吃鸡蛋吗？,宝宝/nr 七个月/x 吃/v 鸡蛋/n,宝宝 七个月 吃 鸡蛋,七个月 宝宝 鸡蛋,宝宝 鸡蛋 七个月,七个月 宝宝 鸡蛋,422,吃 七个月 鸡蛋 宝宝
423,香菜可以吃吗？,香菜/n 吃/v,香菜 吃,香菜,香菜,,423,吃 香菜
424,怀孕三个月可以吃香菜吗？,怀孕/v 三个月/x 吃/v 香菜/n,怀孕 三个月 吃 香菜,三个月 香菜 怀孕,怀孕 三个月 香菜,三个月 怀孕 香菜,424,吃 三个月 香菜 怀孕
425,打包吃鸡蛋了，可以喝牛奶吗？,打包/v 吃/v 鸡蛋/n 喝牛奶/v,打包 吃 鸡蛋 喝牛奶,喝牛奶 打包 鸡蛋,鸡蛋 喝牛奶 打包,鸡蛋 打包 喝牛奶,425,鸡蛋 吃 喝牛奶 打包
426,宝宝七个月可以吃鸡蛋吗？,宝宝/nr 七个月/x 吃/v 鸡蛋/n,宝宝 七个月 吃 鸡蛋,七个月 宝宝 鸡蛋,宝宝 鸡蛋 七个月,七个月 宝宝 鸡蛋,426,吃 七个月 鸡蛋 宝宝
427,铝可以下奶吗？,铝/n 下奶/n,铝 下奶,下奶,下奶,,427,下奶 铝
428,香菜可以吃吗？,香菜/n 吃/v,香菜 吃,香菜,香菜,,428,吃 香菜
429,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,429,发育 指标 宝宝
430,他吐奶。,他/r 吐/v 奶/n,他吐奶,他吐奶,他吐奶,,430,他吐奶
431,剖腹产刀疤。,剖腹产/n 刀疤/n,剖腹产 刀疤,刀疤 剖腹产,剖腹产 刀疤,剖腹产 刀疤,431,刀疤 剖腹产
432,五个月宝宝拉肚子应该吃什么药？,五个月/x 宝宝/nr 拉肚子/n 吃/v 药/n,五个月 宝宝 拉肚子 吃 药,五个月 拉肚子 宝宝,宝宝 五个月 拉肚子,拉肚子 宝宝 五个月,432,拉肚子 吃 宝宝 药 五个月
433,五个月宝宝拉肚子，吃妈咪爱还是吃思密达好。,五个月/x 宝宝/nr 拉肚子/n 吃/v 妈咪/n 爱/v 吃/v 思密达/nr 好/a,五个月 宝宝 拉肚子 吃 妈咪 爱 吃 思密达 好,五个月 思密达 妈咪 拉肚子 宝宝,宝宝 五个月 拉肚子 妈咪 思密达,拉肚子 宝宝 五个月 妈咪,433,吃 爱 妈咪 拉肚子 思密达 宝宝 好 五个月
434,宝宝消化不良有什么症状？,宝宝/nr 消化不良/l 症状/n,宝宝 消化不良 症状,消化不良 宝宝 症状,宝宝 消化不良 症状,症状 消化不良 宝宝,434,消化不良 症状 宝宝
435,宝宝吐奶怎么办？,宝宝/nr 吐奶/n,宝宝 吐奶,吐奶 宝宝,宝宝 吐奶,宝宝 吐奶,435,吐奶 宝宝
436,可不可以吃无花果？,可不可以/c 吃/v 无花果/i,可不可以 吃 无花果,可不可以 无花果,可不可以 无花果,无花果 可不可以,436,吃 无花果 可不可以
437,新生儿洗衣服可以用洗衣粉吗？,新生儿/n 洗衣服/n 洗衣粉/n,新生儿 洗衣服 洗衣粉,洗衣粉 洗衣服 新生儿,新生儿 洗衣粉 洗衣服,洗衣粉 洗衣服 新生儿,437,洗衣服 洗衣粉 新生儿
438,哦，那就是还有能不能吃冰淇淋喽？,吃/v 冰淇淋/nr 喽/zg,吃 冰淇淋 喽,冰淇淋,冰淇淋,,438,冰淇淋 喽 吃
439,我儿子九个月抽了几次。,儿子/n 九个月/x 抽/v 几次/m,儿子 九个月 抽 几次,九个月 几次 儿子,几次 九个月 儿子,九个月 儿子 几次,439,抽 九个月 几次 儿子
440,宝宝现在25天还有点黄疸，可以吃鲫鱼汤跟胡萝卜汤之类的东西吗？,宝宝/nr 25/m 天/q 黄疸/n 吃/v 鲫鱼汤/n 胡萝卜/nr 汤/n 东西/ns,宝宝 25 天 黄疸 吃 鲫鱼汤 胡萝卜 汤 东西,鲫鱼汤 25 黄疸 胡萝卜 宝宝 东西,宝宝 东西 黄疸 25 胡萝卜 鲫鱼汤,25 胡萝卜 黄疸 鲫鱼汤,440,吃 鲫鱼汤 黄疸 胡萝卜 天 汤 25 东西 宝宝
441,嗯，宝宝现在25天还有点黄疸，可以去地狱跟胡萝卜汤之类的吧？,宝宝/nr 25/m 天/q 黄疸/n 地狱/n 胡萝卜/nr 汤/n,宝宝 25 天 黄疸 地狱 胡萝卜 汤,25 黄疸 胡萝卜 地狱 宝宝,宝宝 黄疸 25 胡萝卜 地狱,黄疸 25 胡萝卜 地狱,441,黄疸 地狱 天 胡萝卜 25 汤 宝宝
442,怀孕能不能吃甘蔗？,怀孕/v 吃/v 甘蔗/n,怀孕 吃 甘蔗,怀孕 甘蔗,怀孕 甘蔗,甘蔗 怀孕,442,吃 甘蔗 怀孕
443,我儿子九个月抽了几次。,儿子/n 九个月/x 抽/v 几次/m,儿子 九个月 抽 几次,九个月 几次 儿子,几次 九个月 儿子,九个月 儿子 几次,443,抽 九个月 几次 儿子
444,宝宝脸上长湿疹跟妈妈饮食有关系吗？,宝宝/nr 脸上/s 长/a 湿疹/n 妈妈/n 饮食/n 系/v,宝宝 脸上 长 湿疹 妈妈 饮食 系,湿疹 宝宝 饮食 妈妈 脸上,宝宝 妈妈 湿疹 脸上 饮食,湿疹 脸上 饮食 妈妈,444,湿疹 妈妈 长 饮食 脸上 系 宝宝
445,宝宝现在25天还有点黄疸，可以吃鲫鱼汤跟胡萝卜汤之类的东西吗？,宝宝/nr 25/m 天/q 黄疸/n 吃/v 鲫鱼汤/n 胡萝卜/nr 汤/n 东西/ns,宝宝 25 天 黄疸 吃 鲫鱼汤 胡萝卜 汤 东西,鲫鱼汤 25 黄疸 胡萝卜 宝宝 东西,宝宝 东西 黄疸 25 胡萝卜 鲫鱼汤,25 胡萝卜 黄疸 鲫鱼汤,445,吃 鲫鱼汤 黄疸 胡萝卜 天 汤 25 东西 宝宝
446,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,446,发育 指标 宝宝
447,嗯，宝宝现在25天还有点黄疸，可以去地狱跟胡萝卜汤之类的吧？,宝宝/nr 25/m 天/q 黄疸/n 地狱/n 胡萝卜/nr 汤/n,宝宝 25 天 黄疸 地狱 胡萝卜 汤,25 黄疸 胡萝卜 地狱 宝宝,宝宝 黄疸 25 胡萝卜 地狱,黄疸 25 胡萝卜 地狱,447,黄疸 地狱 天 胡萝卜 25 汤 宝宝
448,三个月宝宝厌奶一般要多长时间？,三个月/x 宝宝/nr 厌奶/x 多长时间/n,三个月 宝宝 厌奶 多长时间,三个月 厌奶 多长时间 宝宝,宝宝 三个月 多长时间 厌奶,宝宝 厌奶 多长时间 三个月,448,厌奶 宝宝 多长时间 三个月
449,宝宝腹泻便便怎么分辨？,宝宝/nr 腹泻/v 便便/x 分辨/v,宝宝 腹泻 便便 分辨,便便 腹泻 分辨 宝宝,宝宝 腹泻 便便 分辨,腹泻 便便 宝宝 分辨,449,便便 腹泻 分辨 宝宝
450,宝宝能不能吃西瓜？,宝宝/nr 吃/v 西瓜/ns,宝宝 吃 西瓜,西瓜 宝宝,宝宝 西瓜,西瓜 宝宝,450,吃 西瓜 宝宝
451,宝宝左肾分离，嗯，尿道扩张怎么办？,宝宝/nr 左/m 肾/zg 分离/v 尿道/n 扩张/v,宝宝 左 肾 分离 尿道 扩张,尿道 宝宝 分离 扩张,宝宝 分离 扩张 尿道,扩张 尿道 分离,451,分离 肾 尿道 左 扩张 宝宝
452,三个月宝宝厌奶怎么办？,三个月/x 宝宝/nr 厌奶/x,三个月 宝宝 厌奶,三个月 厌奶 宝宝,宝宝 三个月 厌奶,宝宝 厌奶 三个月,452,宝宝 厌奶 三个月
453,哺乳期能吃维c和维一吗？影响宝宝吗？,哺乳期/n 能/v 吃/v 维/v c/x 维一/nz 影响/vn 宝宝/nr,哺乳期 能吃维 c 维一 影响 宝宝,能吃维 维一 哺乳期 宝宝 影响,宝宝 哺乳期 影响 维一 能吃维,维一 影响 宝宝,453,维一 c 影响 能吃维 宝宝 哺乳期
454,五个月宝宝嗯腹泻拉的是水，还有奶抱。,五个月/x 宝宝/nr 腹泻/v 拉/v 水/n 奶抱/n,五个月 宝宝 腹泻 拉 水 奶抱,五个月 奶抱 腹泻 宝宝,宝宝 五个月 腹泻 奶抱,腹泻 宝宝 五个月,454,拉 腹泻 水 宝宝 奶抱 五个月
455,唐筛检查需要空腹吗？,唐筛/x 检查/vn 空腹/n,唐筛 检查 空腹,唐筛 空腹 检查,唐筛 检查 空腹,空腹 检查 唐筛,455,检查 空腹 唐筛
456,宝宝两个月之后每月涨多少正常？,宝宝/nr 两个月/x 每月/r 涨/v,宝宝 两个月 每月 涨,两个月 宝宝 每月,宝宝 两个月 每月,宝宝 两个月,456,每月 两个月 涨 宝宝
457,宝宝腹泻便便怎么分辨？,宝宝/nr 腹泻/v 便便/x 分辨/v,宝宝 腹泻 便便 分辨,便便 腹泻 分辨 宝宝,宝宝 腹泻 便便 分辨,腹泻 便便 宝宝 分辨,457,便便 腹泻 分辨 宝宝
458,先生，新生儿四个月可以补钙。,新生儿/n 四个月/x 补钙/n,新生儿 四个月 补钙,四个月 补钙 新生儿,四个月 新生儿 补钙,补钙 新生儿 四个月,458,四个月 补钙 新生儿
459,发烧怎么办？,发烧/v,发烧,发烧,发烧,,459,发烧
460,宝宝两个月之后每月涨多少正常？,宝宝/nr 两个月/x 每月/r 涨/v,宝宝 两个月 每月 涨,两个月 宝宝 每月,宝宝 两个月 每月,宝宝 两个月,460,每月 两个月 涨 宝宝
461,坐月子感冒了，可以吃感冒药吗？,坐月子/n 感冒/v 吃/v 感冒药/n,坐月子 感冒 吃 感冒药,感冒药 坐月子 感冒,感冒 坐月子 感冒药,感冒 感冒药 坐月子,461,吃 感冒 感冒药 坐月子
462,嗯，四个月的孩子需要补钙还和其他的吗？,四个月/x 孩子/n 补钙/n,四个月 孩子 补钙,四个月 补钙 孩子,孩子 四个月 补钙,补钙 孩子 四个月,462,孩子 补钙 四个月
463,孕期有痰。,孕期/t 痰/n,孕期 痰,孕期,孕期,,463,痰 孕期
464,三个月宝宝厌奶，我想问一下一般需要多长时间呀？奶过程。,三个月/x 宝宝/nr 厌奶/x 想/v 问/n 多长时间/n 奶/zg 过程/n,三个月 宝宝 厌奶 想 问 多长时间 奶 过程,三个月 厌奶 多长时间 宝宝 过程,宝宝 三个月 多长时间 厌奶 过程,宝宝 过程 厌奶 多长时间,464,问 想 多长时间 厌奶 奶 宝宝 过程 三个月
465,宝宝需要枕头吗？,宝宝/nr 枕头/n,宝宝 枕头,枕头 宝宝,宝宝 枕头,枕头 宝宝,465,枕头 宝宝
466,发烧怎么办？,发烧/v,发烧,发烧,发烧,,466,发烧
467,五个月宝宝拉肚子怎么办？,五个月/x 宝宝/nr 拉肚子/n,五个月 宝宝 拉肚子,五个月 拉肚子 宝宝,宝宝 五个月 拉肚子,拉肚子 宝宝 五个月,467,宝宝 拉肚子 五个月
468,新生儿需用枕头吗？,新生儿/n 需用/v 枕头/n,新生儿 需用 枕头,需用 新生儿 枕头,新生儿 枕头 需用,需用 枕头 新生儿,468,需用 枕头 新生儿
469,宝宝三个月厌奶症。,宝宝/nr 三个月/x 厌奶/x 症/zg,宝宝 三个月 厌奶 症,三个月 厌奶 宝宝,宝宝 三个月 厌奶,宝宝 厌奶 三个月,469,厌奶 三个月 症 宝宝
470,止咳化痰。,止咳/v 化痰/v,止咳 化痰,止咳 化痰,化痰 止咳,止咳 化痰,470,化痰 止咳
471,什么是流感？,流感/n,流感,流感,流感,,471,流感
472,流感的症状。,流感/n 症状/n,流感 症状,流感 症状,症状 流感,症状 流感,472,症状 流感
473,怎么知道是流感？流感有什么症状？,流感/n 流感/n 症状/n,流感 流感 症状,流感 症状,症状 流感,流感 症状,473,流感 症状
474,孕中期感冒鼻子不舒服怎么办？,孕中期/x 感冒/v 鼻子/n 舒服/a,孕中期 感冒 鼻子 舒服,孕中期 感冒 舒服 鼻子,感冒 鼻子 孕中期 舒服,鼻子 感冒 舒服 孕中期,474,鼻子 感冒 舒服 孕中期
475,如何区分普通版帽和流感？,区分/n 版帽/n 流感/n,区分 版帽 流感,版帽 流感 区分,流感 区分 版帽,版帽 流感 区分,475,版帽 流感 区分
476,如何区分流感与普通感冒？,区分/n 流感/n 感冒/v,区分 流感 感冒,感冒 流感 区分,感冒 流感 区分,流感 感冒 区分,476,流感 感冒 区分
477,怀孕中期感冒怎么办？,怀孕/v 中期/t 感冒/v,怀孕 中期 感冒,感冒 怀孕 中期,怀孕 感冒 中期,感冒 怀孕 中期,477,中期 感冒 怀孕
478,宝宝吃什么补铁？,宝宝/nr 吃/v 补铁/n,宝宝 吃 补铁,补铁 宝宝,宝宝 补铁,补铁 宝宝,478,吃 补铁 宝宝
479,孩子的脸被太阳晒伤了怎么办？,孩子/n 脸/n 太阳/ns 晒伤/x,孩子 脸 太阳 晒伤,晒伤 太阳 孩子,孩子 晒伤 太阳,太阳 孩子 晒伤,479,太阳 脸 晒伤 孩子
480,娃娃的脸晒伤了怎么办？,娃娃/n 脸/n 晒伤/x,娃娃 脸 晒伤,晒伤 娃娃,晒伤 娃娃,晒伤 娃娃,480,脸 晒伤 娃娃
481,为什么没有听到胎心活动？,听到/v 胎心/n 活动/vn,听到 胎心 活动,胎心 听到 活动,听到 胎心 活动,胎心 活动 听到,481,胎心 活动 听到
482,脸部晒伤了怎么办？,脸部/n 晒伤/x,脸部 晒伤,晒伤 脸部,晒伤 脸部,脸部 晒伤,482,晒伤 脸部
483,孩子的脸被太阳晒伤了怎么办？,孩子/n 脸/n 太阳/ns 晒伤/x,孩子 脸 太阳 晒伤,晒伤 太阳 孩子,孩子 晒伤 太阳,太阳 孩子 晒伤,483,太阳 脸 晒伤 孩子
484,娃娃的脸晒伤了怎么办？,娃娃/n 脸/n 晒伤/x,娃娃 脸 晒伤,晒伤 娃娃,晒伤 娃娃,晒伤 娃娃,484,脸 晒伤 娃娃
485,腰很痛是什么原因？,腰/n 痛/a 原因/n,腰 痛 原因,原因,原因,,485,痛 原因 腰
486,为什么没有听到胎心活动？,听到/v 胎心/n 活动/vn,听到 胎心 活动,胎心 听到 活动,听到 胎心 活动,胎心 活动 听到,486,胎心 活动 听到
487,为什么做B超没有，听到脉搏？,B超/n 听到/v 脉搏/n,B超 听到 脉搏,B超 脉搏 听到,听到 脉搏,脉搏 听到 B超,487,听到 脉搏 B超
488,我说今天做B超，孕囊大小看到了还没有听到胎心。,B超/n 孕囊/x 大小/b 听到/v 胎心/n,B超 孕囊 大小 听到 胎心,B超 孕囊 胎心 听到 大小,听到 胎心 孕囊 大小,大小 孕囊 听到 胎心,488,大小 听到 孕囊 胎心 B超
489,定了运能看到了，为什么还没有看的太心？,定/v 运能/v 太心/n,定 运能 太心,太心 运能,太心 运能,运能 太心,489,运能 太心 定
490,哺乳期怎么减肥瘦身呀？吃什么产品？推荐给瘦身。,哺乳期/n 减肥/v 瘦身/n 吃/v 产品/n 推荐/v 瘦身/n,哺乳期 减肥 瘦身 吃 产品 推荐 瘦身,瘦身 哺乳期 减肥 推荐 产品,哺乳期 推荐 产品 减肥 瘦身,瘦身 产品 哺乳期 减肥,490,瘦身 推荐 吃 产品 减肥 哺乳期
491,纯母乳六个月的宝宝可以吃米粉吗？,纯/a 母乳/n 六个月/m 宝宝/nr 吃/v 米粉/nr,纯 母乳 六个月 宝宝 吃 米粉,米粉 母乳 六个月 宝宝,宝宝 母乳 六个月 米粉,宝宝 母乳 六个月 米粉,491,宝宝 六个月 吃 母乳 米粉 纯
492,纯母乳六个月的宝宝可以吃饼干吗？,纯/a 母乳/n 六个月/m 宝宝/nr 吃/v 饼干/n,纯 母乳 六个月 宝宝 吃 饼干,母乳 饼干 六个月 宝宝,宝宝 母乳 六个月 饼干,宝宝 母乳 六个月 饼干,492,宝宝 六个月 吃 母乳 饼干 纯
493,六个月的宝宝可以吃饼干吗？,六个月/m 宝宝/nr 吃/v 饼干/n,六个月 宝宝 吃 饼干,饼干 六个月 宝宝,宝宝 六个月 饼干,宝宝 饼干 六个月,493,吃 宝宝 饼干 六个月
494,纯母乳可以喂饼干儿吗？,纯/a 母乳/n 饼干/n 儿/n,纯 母乳 饼干 儿,母乳 饼干,母乳 饼干,饼干 母乳,494,饼干 母乳 儿 纯
495,宝玉豆腐能吃。,宝玉/nr 豆腐/n 吃/v,宝玉 豆腐 吃,豆腐 宝玉,豆腐 宝玉,豆腐 宝玉,495,豆腐 吃 宝玉
496,宝宝老是在打嗝。,宝宝/nr 老/a 是/v 打嗝/v,宝宝 老是 打嗝,打嗝 老是 宝宝,宝宝 老是 打嗝,,496,老是 打嗝 宝宝
497,五个月可以吃什么？,五个月/x 吃/v,五个月 吃,五个月,五个月,,497,吃 五个月
498,六个月可以吃水果吗？,六个月/m 吃水果/n,六个月 吃水果,吃水果 六个月,六个月 吃水果,吃水果 六个月,498,吃水果 六个月
499,怀孕能吃保胎药吗？,怀孕/v 吃/v 保胎药/x,怀孕 吃 保胎药,保胎药 怀孕,怀孕 保胎药,怀孕 保胎药,499,吃 保胎药 怀孕
500,六个月可不可以吃饼干？,六个月/m 可不可以/c 吃/v 饼干/n,六个月 可不可以 吃 饼干,可不可以 饼干 六个月,六个月 可不可以 饼干,可不可以 饼干 六个月,500,吃 可不可以 饼干 六个月
501,六个月可以补时吗？,六个月/m 补时/n,六个月 补时,补时 六个月,六个月 补时,补时 六个月,501,补时 六个月
502,一岁半的小婴儿可以吃辣。,一岁/m 半/m 婴儿/n 吃/v 辣/n,一岁 半 婴儿 吃 辣,一岁 婴儿,婴儿 一岁,婴儿 一岁,502,婴儿 吃 半 辣 一岁
503,吃得多消化不良，腹泻。,吃/v 消化不良/l 腹泻/v,吃 消化不良 腹泻,消化不良 腹泻,消化不良 腹泻,腹泻 消化不良,503,消化不良 腹泻 吃
504,小孩拉肚子，又吐又够怎么办？,小孩/n 拉肚子/n 吐/v 够/zg,小孩 拉肚子 吐 够,拉肚子 小孩,小孩 拉肚子,拉肚子 小孩,504,吐 拉肚子 够 小孩
505,宝宝快六个月了，大喊大叫。,宝宝/nr 快/a 六个月/m 大喊大叫/i,宝宝 快 六个月 大喊大叫,大喊大叫 六个月 宝宝,宝宝 六个月 大喊大叫,六个月 宝宝 大喊大叫,505,六个月 快 大喊大叫 宝宝
506,有什么方法是可以不用药，使宝宝流鼻涕有好转。,方法/n 用药/n 使/v 宝宝/nr 流鼻涕/n 好转/v,方法 用药 使 宝宝 流鼻涕 好转,流鼻涕 用药 宝宝 好转 方法,宝宝 流鼻涕 方法 好转 用药,宝宝 用药 流鼻涕 好转,506,宝宝 使 流鼻涕 用药 好转 方法
507,吃得多消化不良，腹泻。,吃/v 消化不良/l 腹泻/v,吃 消化不良 腹泻,消化不良 腹泻,消化不良 腹泻,腹泻 消化不良,507,消化不良 腹泻 吃
508,小孩拉肚子，又吐又够怎么办？,小孩/n 拉肚子/n 吐/v 够/zg,小孩 拉肚子 吐 够,拉肚子 小孩,小孩 拉肚子,拉肚子 小孩,508,吐 拉肚子 够 小孩
509,宝宝快六个月了，大喊大叫。,宝宝/nr 快/a 六个月/m 大喊大叫/i,宝宝 快 六个月 大喊大叫,大喊大叫 六个月 宝宝,宝宝 六个月 大喊大叫,六个月 宝宝 大喊大叫,509,六个月 快 大喊大叫 宝宝
510,有什么方法是可以不用药，使宝宝流鼻涕有好转。,方法/n 用药/n 使/v 宝宝/nr 流鼻涕/n 好转/v,方法 用药 使 宝宝 流鼻涕 好转,流鼻涕 用药 宝宝 好转 方法,宝宝 流鼻涕 方法 好转 用药,宝宝 用药 流鼻涕 好转,510,宝宝 使 流鼻涕 用药 好转 方法
511,还有什么方法可以不用，要是宝宝流鼻涕好转。,方法/n 不用/v 宝宝/nr 流鼻涕/n 好转/v,方法 不用 宝宝 流鼻涕 好转,流鼻涕 宝宝 好转 不用 方法,宝宝 流鼻涕 方法 不用 好转,宝宝 流鼻涕 不用 方法,511,宝宝 流鼻涕 不用 好转 方法
512,什么是高危筛查？,高/a 危/n 筛查/vn,高危 筛查,筛查 高危,筛查 高危,,512,筛查 高危
513,你理解错了，我问什么是高危筛查？,理解/v 错/v 问/n 高/a 危/n 筛查/vn,理解 错 问 高危 筛查,筛查 高危 理解,筛查 高危 理解,,513,问 高危 错 筛查 理解
514,宝宝流鼻涕不好怎么办？,宝宝/nr 流鼻涕/n 不好/d,宝宝 流鼻涕 不好,流鼻涕 宝宝 不好,宝宝 流鼻涕 不好,流鼻涕 宝宝 不好,514,流鼻涕 不好 宝宝
515,宝宝流鼻涕一直不好怎么办？,宝宝/nr 流鼻涕/n 不好/d,宝宝 流鼻涕 不好,流鼻涕 宝宝 不好,宝宝 流鼻涕 不好,流鼻涕 宝宝 不好,515,流鼻涕 不好 宝宝
516,什么是高危筛查？,高/a 危/n 筛查/vn,高危 筛查,筛查 高危,筛查 高危,,516,筛查 高危
517,高危筛查是指的什么？,高/a 危/n 筛查/vn 指/n,高危 筛查 指,筛查 高危,筛查 高危,,517,筛查 指 高危
518,怀孕30周，胎儿双顶颈84毫米正常吗？,怀孕/v 30/m 周/nr 胎儿/n 双顶颈/x 84/m 毫米/q,怀孕 30 周 胎儿 双顶颈 84 毫米,30 双顶颈 84 胎儿 怀孕 毫米,怀孕 30 胎儿 双顶颈 84 毫米,胎儿 双顶颈 84 30,518,胎儿 双顶颈 周 84 30 毫米 怀孕
519,五个月的宝宝可以吃水果吗？可以吃什么水果？,五个月/x 宝宝/nr 吃水果/n 吃/v 水果/n,五个月 宝宝 吃水果 吃 水果,五个月 吃水果 宝宝 水果,宝宝 五个月 吃水果 水果,吃水果 宝宝 五个月 水果,519,吃水果 吃 宝宝 水果 五个月
520,五个月的宝宝可以吃什么辅食？,五个月/x 宝宝/nr 吃/v 辅食/x,五个月 宝宝 吃 辅食,五个月 辅食 宝宝,宝宝 五个月 辅食,宝宝 辅食 五个月,520,吃 宝宝 辅食 五个月
521,十个月宝宝可以吃虾吗？,十个月/m 宝宝/nr 吃/v 虾/n,十个月 宝宝 吃 虾,十个月 宝宝,宝宝 十个月,宝宝 十个月,521,吃 宝宝 虾 十个月
522,宝宝五个月可以吃什么辅食？,宝宝/nr 五个月/x 吃/v 辅食/x,宝宝 五个月 吃 辅食,五个月 辅食 宝宝,宝宝 五个月 辅食,五个月 宝宝 辅食,522,吃 五个月 辅食 宝宝
523,宝宝可以吃虾吗？十个月。,宝宝/nr 吃/v 虾/n 十个月/m,宝宝 吃 虾 十个月,十个月 宝宝,宝宝 十个月,,523,虾 吃 十个月 宝宝
524,什么是方颅？,方颅/x,方颅,方颅,方颅,,524,方颅
525,宝宝有点方颅。,宝宝/nr 方颅/x,宝宝 方颅,方颅 宝宝,宝宝 方颅,方颅 宝宝,525,方颅 宝宝
